timestamp,ax,ay,az,gx,gy,gz,pressing_id
1627778,14114,32742,6995,32764,-15145,-5217,9
1627790,10189,32742,11818,32764,-19723,-5583,9
1627804,14740,32742,8744,32764,-25520,-10584,9
1627816,20114,32742,5084,32764,-19986,-12062,9
1627829,28332,32742,9919,32764,2981,-7408,9
1627842,24401,32742,24695,32764,9927,647,9
1627854,13207,32742,32764,32764,4829,9413,9
1627868,5407,32742,32764,32764,-30128,11931,9
1627880,15824,32742,32764,32764,-32764,6764,9
1627893,25040,32742,32764,32764,-32764,2406,9
1627906,28102,32742,32764,32764,-27534,1083,9
1627919,27564,32742,32764,32764,-23222,3424,9
1627931,23239,32742,32764,32764,-23160,7272,9
1627944,19961,32742,32764,31318,-31094,11377,9
1627957,17567,32742,32764,27770,-29072,12348,9
1627970,5042,31653,32764,28896,-12486,11065,9
1627983,1628,29360,32764,29526,-3619,7803,9
1627995,-937,26594,32764,25739,1759,5159,9
1628008,-118,21961,32764,12766,4187,-506,9
1628021,3069,19265,32764,5418,4349,-2980,9
1628034,7682,15926,32764,-803,5003,-4615,9
1628047,12815,12081,29265,-6491,7700,-3591,9
1628059,13023,11614,26351,-6808,8336,-1595,9
1628072,11583,12203,26144,-6734,8785,811,9
1628957,-1232,2352,-30107,25391,8092,9048,10
1628970,-4196,10360,-31703,32758,13793,13083,10
1628982,-6506,15654,-32260,32764,15033,14529,10
1628995,-7409,20064,-32291,32764,15126,14693,10
1629008,-8799,25468,-29834,32764,12299,13071,10
1629021,-6972,27964,-29645,32764,9341,11337,10
1629034,686,32116,-25732,32764,1694,8637,10
1629046,4144,32742,-23017,32764,-951,8450,10
1629091,7222,32742,-10974,32764,-7241,7361,10
1629104,8005,32742,-6124,32764,-7382,6564,10
1629116,7771,32742,-1157,32764,-8572,6172,10
1629129,9105,32742,3357,32764,-13600,4826,10
1629142,12011,32742,8612,32764,-16101,4566,10
1629155,15197,32742,13299,32764,-16823,5581,10
1629168,14446,32742,11876,32764,-13570,12527,10
1629180,7754,32742,12261,32764,-8528,15465,10
1629193,1256,32742,13189,32764,-2568,15888,10
1629206,-7720,32742,31032,32764,1126,12272,10
1629219,2350,32742,32764,32764,-7238,9733,10
1629232,14277,32742,32764,32764,-29092,17376,10
1629244,9799,32742,32764,32764,-32735,22933,10
1629257,4866,32742,32764,32764,-32764,24403,10
1629270,2760,32742,32764,32764,-32764,13695,10
1629283,7022,32742,32764,32764,-32764,5608,10
1629295,13799,32742,32764,32747,-31513,-471,10
1629308,19522,32741,32764,27427,-7788,3237,10
1629321,11210,31848,32764,24362,2496,9217,10
1629334,2047,30327,32764,22100,6531,12979,10
1629347,-7540,28528,32764,15302,740,12773,10
1629359,-6972,24866,32381,11212,-3145,10163,10
1629373,-7055,20520,30832,8808,-4009,6956,10
1629385,-3286,18560,32321,7797,-808,-2000,10
1629398,516,16553,32764,6591,1305,-4870,10
1629411,6963,13401,30798,1290,2172,-4906,10
1629423,6521,12726,28196,-1887,1718,-2307,10
1629436,4433,12743,24646,-4969,561,544,10
